d6/2,d100,ARTIFACT,DESCRIPTION,LEVEL,DEPLETION,FORM,
1,1,Redlight Clip,This object flashes red when in immediate range of dangerous radiation or poisonous gas.,1,–,A metal clip or pin easily affixed to clothing.,
1,2,Telltale Glass,"This glass turns red if anything poisonous is put into it, even in very small quantities.",1,–,Clear drinking glass.,
1,3,Adamantine Cable,This length of rope has the flexibility of ordinary rope but a hardness greater than steel. The rope is impervious to all damage and cannot be cut.,1,–,A 15 m length of black rope.,
1,4,Autoscribe,"Speaking the command causes the hand to animate, rise up, and ready the writing implement to record whatever you say on whatever surface the implement touches. The hand deactivates when you speak the command again.",1,1 in 1d100,A severed hand fitted with a metal plate on the stump that holds a writing implement.,
1,5,Chronometer,The device keeps perfect time. The device also has a stopwatch and timer function.,1,–,A wristband with a mechanical display in the middle.,
1,6,Communication Beads,"To activate this item, each insect must be placed inside an ear canal. If placed in the ears of two different creatures, each creature can hear the other speak regardless of the distance between them or the volume at which they speak.",1,1 in 1d100,A pair of tiny insects with strange sucker heads.,
1,7,Cryogen Box,The box’s interior is 1° C and stays at that temperature indefinitely. Anything placed inside the box cools until it reaches this temperature.,1,–,A 2 m cube made of metal with a door on the front.,
1,8,Ever-Write,"Someone can use the device to write on any surface, even liquid. The writing cannot be erased.",1,–,A slender metal tube that ends in a point.,
1,9,Force Shield,"When activated, an energy field expands out from the device until it attains the size of a shield. The energy field functions as a shield for one hour.",1,1 in 1d20,A wristband with a round device attached in the middle.,
1,10,Hot-Cold Stone,"When activated, the device changes the temperature in the area within a short distance. It can increase or decrease the temperature by up to 20° C, as the user decides. The effect lasts for up to seven hours.",1,1 in 1d20,"A small, round, flat mechanical device with four vents at the top.",
1,11,Monitor Bracelet,"The device activates when a creature puts on the bracelet. While the bracelet is worn, the viewscreen displays the wearer’s exact position and vital signs.",1,1 in 1d100,"A bracelet made from a flexible, synthetic material and a viewscreen.",
1,12,Water Finder,"For one hour after it’s activated, the device vibrates whenever it is within a short distance of water. The closer the user gets to the water, the stronger the device vibrates.",1,1 in 1d100,A floating crystal that emits soft yellow light.,
1,13,Amulet of safety,"Once the amulet is keyed to a specific numenera weapon, the weapon cannot activate to harm the wearer. The amulet’s level must be at least as high as the weapon’s level.",1d6,-,Plain metallic disk on a chain.,
1,14,Automated cook,"This automaton prepares food on command. It must be given raw materials (water and organic compounds), but with those it can prepare and serve a hot, nutritious, delicious meal.",1d6,1 in 1d100,Small metal and synth cube that has metallic arms and tools.,
1,15,Brain bud,The pod grafts onto any living host (must be near the brain) and injects complex chemicals that greatly improve brain activity. This increases the host’s maximum Intellect Pool by 5 (+7 if the artifact is level 6 or higher).,1d6,-,"Organic pod, almost like a small, hemispherical bit of fruit. Once grafted to a host, it takes on the appearance of the host’s flesh.",
1,16,Carryall,"This device comes with a small module that can be worn on a belt. Rolling along on its wheels, the chest attempts to follow within immediate range of the module (though it can be directed to remain where it is). It moves a short distance each round. The chest can come to the module from a range of up to 16 km away (32 km if the artifact is level 6 or higher). The interior of the chest is mostly hollow and can hold up to 2,300 kg. The artifact must be newly activated each day.",1d6,-,Metallic chest with tracked wheels on either side.,
1,17,Cypher bag,"This bag can contain up to one cypher per artifact level, as long as each is no larger than a typical handheld device. These cyphers do not count against a character’s limit.",1d6,1 in 1d20,Synth bag.,
1,18,Exploding Arrow,"The arrow explodes when it strikes something, inflicting its level in damage to all within immediate range.",1d6,Automatic,Arrow with a tiny metallic device attached to it.,
1,19,Filtration Straw,Water that passes through this tube is purified. Most liquids other than water drawn through the tube come out as water (or mostly water).,1d6,–,"A long, narrow synth tube.",
1,20,Food Scanner,"When activated and pointed at food, this device sounds an alarm if the food has any contaminants or poisonous substances.",1d6,1 in 1d20,A handheld device with a number of controls and a wide dish at one end.,
1,21,Food Tube,The device produces a grey paste that provides enough nutrition for one person for one day.,1d6,1 in 1d10,A synth tube.,
1,22,Healing Sword,"The broadsword blade is a Ninth World-forged addition to the numenera hilt (which likely was not a sword hilt originally). When squeezed properly, the hilt injects a healing substance into the wielder’s body, restoring 1d6 points of any stat Pool he wishes. If the wielder is using the sword in battle, using the healing function does not require an action.",1d6,1 in 1d10,A typical sword with an odd-looking synth hilt.,
1,23,Hover Square,"When unfolded and activated, this piece of synth forms a platform that moves laterally as directed by someone atop it. The platform moves up to short range in a round. It can hold up to 2,268 kg.",1d6,1 in 1d20,Folded synth square that is 0.3 m by 0.3 m and unfolds into a square that is 2.4 m by 2.4 m.,
1,24,Imager,"This device captures a perfect image of a nearby scene. It can store thousands of images, and any stored image can be shown on the synth panel. When the device is depleted, all stored images are lost.",1d6,1 in 1d100,"A small, rectangular handheld device with a clear synth panel.",
1,25,Mephitic Staff,"When activated (which is not an action), the tip of the staff releases a concentrated, immediate-range blast of noxious fumes when it is struck against a solid creature or object. An affected creature loses its next turn to coughing and choking.",1d6,1 in 1d20,A short metal-and-glass tube fitted onto a well-made wooden quarterstaff.,
1,26,Metabolism Bud,The pod grafts onto any living host (usually near the brain or spine) and injects chemicals that boost the creature’s metabolism. This grants the host a +5 bonus to maximum Speed Pool.,1d6,–,"An organic pod, almost like a small, hemispherical bit of fruit. Once grafted to a host, it takes on the appearance of the host’s flesh.",
1,27,Nano-needler,"This device projects a single needle – far smaller in width than a human hair – up to long range. The needle inflicts no damage, but it can carry poison or disease, and the injection is so tiny that the victim doesn’t feel it. The needle can also penetrate (ignore) up to 4 Armor.
This device is a rapid-fire weapon, and thus can be used with the Spray or Arc Spray abilities that some glaives and jacks have, but each “round of ammo” used or each additional target selected requires an additional depletion roll.",1d6,1 in 1d10,A small handheld device with a tiny tube.,
1,28,Needler,"This device projects a single needle (no damage), a spray of needles (1 point of damage), or a wide spray of needles (no damage, but it affects everyone within an immediate area) – user’s choice. In each case, the needles can affect anyone within long range. The needles can be poisoned, in which case even those who don’t take damage must make Might defense rolls to avoid being poisoned.
This device is a rapid-fire weapon, and thus can be used with the Spray or Arc Spray abilities that some glaives and jacks have, ignoring “rounds of ammo” costs.",1d6,1 in 1d20,A small handheld device with a tiny tube.,
1,29,Nightvision Goggles,"Outside, the wearer can see at night as if it were daylight. Inside, the wearer can see in pitch darkness for short range.",1d6,–,"A pair of synth goggles with dark, protruding lenses.",
1,30,Phasing Piton,"When activated, the piton phases and can be inserted up to 15 cm into almost any material. When deactivated, the piton becomes solid again and remains embedded solidly in the material. If used as a weapon (requiring one action to activate and insert, and a second action to deactivate), the piton inflicts 6 points of damage.",1d6,1 in 1d100,A metallic spike with a single toggle stud.,
1,31,Plant Jar,"A living plant placed inside this device remains alive until removed regardless of light, water, or other conditions.",1d6, –,A large glass or clear synth canister.,
1,32,Remote Clamp,The control pad allows someone to direct this extremely strong device to clamp and unclamp. The pad must be within 152 m of the clamp to control it.,1d6,1 in 1d10,A metal clamp with a detachable control pad.,
1,33,Skill Bud,This pod grafts onto any living host (must be near the brain) and injects complex chemicals that alter brain and muscle functions. This grants the host training in one (predetermined) skill.,1d6,–,"An organic pod, almost like a small, hemispherical bit of fruit. Once grafted to a host, it takes on the appearance of the host’s flesh.",
