d10/2,d100,CYPHER,DESCRIPTION,LEVEL,FORM,,,,,,,
1,1,Analysis daemon,The user examines a cypher or an artifact and then taps into the datasphere. The user automatically identifies the device.,1,Pill,Ingestible liquid,Temporary tattoo,Amulet,Headband,Crystal worn on temple,Small handheld device,Crystal
1,2,Biometric reference,"Activating the device allows the user to connect with the datasphere to identify one creature he can see. The user learns the creature’s level, motivations, health, damage inflicted, armor, and movement, plus a detail about how it fights in combat.",1,Pill,Ingestible liquid,Temporary tattoo,Amulet,Headband,Crystal worn on temple,Small handheld device,Crystal
1,3,Kinetic rod,"The user strikes the device against a solid surface, and the device absorbs the kinetic energy from the impact. The next time the user hits a target with an attack using the rod, the device releases the kinetic energy and inflicts 2 additional points of damage. Thereafter, this device functions as an ordinary club.",1,A metallic rod with an insulated handle,,,,,,,
1,4,Memory cube,"Removes one memory from the user’s mind and stores it inside the device, where it remains forever. Anyone holding the device can see a replay of the memory as the user experienced it. The user has no recollection of the memory, though she can become familiar with it through repeated viewings.",1,Small cube made of glass or crystal,,,,,,,
1,5,Miniaturized weapon,"When activated, the device instantly grows into the full-sized weapon that it resembles.",1,Miniature weapon,,,,,,,
1,6,Shudder stones,"Breaking the device activates it. The two halves vibrate when they are separated by more than 10 feet (3 m) and continue to vibrate until they are brought back to within this distance or for 28 hours, after which time the device ceases to function.",1,Smooth piece of brittle stone,,,,,,,
1,7,Spatial warp,"When affixed to another numenera device that affects a single target at range, that range is increased to 1.5 km with no penalties. Space is temporarily warped in terms of seeing and reaching the target. If direct line of sight is important to the device’s effect, it remains important. Creating the spatial warp functions as one use of the device.",5,Small metal ring,,,,,,,
1,8,Stim,Eases the next action taken by three steps.,6,Pill,Ingestible liquid,Injector,,,,,
1,9,Stim,Eases the next action taken by three steps.,6,Pill,Ingestible liquid,Injector,,,,,
1,10,Access token,Automatically unlocks one locked door or container within short range.,1d6,Gloves,Ring,False fingernail,Tiny metal device,,,,
1,11,Adhesion clamps,"Allows for automatic climbing of any surface, even horizontal ones. Lasts for twenty minutes.",1d6,Gloves,Handles with powerful suction cups,,,,,,
1,12,Airfins,"Through gravity manipulation, the wearer can swim through the air as if it were water for one hour. Training or specialization in swimming aids in movement.",1d6,Long gloves with forearm fins,,,,,,,
1,13,Alarm worm,"Six minutes after activation, the worm inflates and excretes 1d6 wet, shuddering eggs at a place the user designates. After laying the eggs, the worm slithers back to the user and coils around one of his limbs, gripping tightly. For the next seven hours, whenever a creature approaches within 2 m of the eggs, the worm tightens and exudes a thick orange slime that reeks of rotten meat. When the effect ends, the worm relaxes its grip, falls, and expires messily.",1d6,A bloated worm,,,,,,,
1,14,Anchor stone,Submerging the device in water causes it to swell into a boulder about 2 m in diameter that weighs 227 kg.,1d6,Lump of stone material,,,,,,,
1,15,Antipathy field emitter,"When activated, the device emits an invisible energy field for one hour. The field extends out to immediate range. Any living creature in the field other than the user experiences nausea and physical discomfort. The difficulty of all tasks performed by an affected creature is modified by one step to its detriment.",1d6,Mask,Amulet,Tempoary tattoo,Small handheld device,Note affixed to weapon or armor,,,
1,16,Armor patch,"After being applied to armor of any kind, this patch activates when firmly slapped, sending tiny nanowires through the armor’s material to provide greater benefit.
01–50 Nanowires add a repellent layer to the material. Gain +1 to Armor against ranged, piercing, fire, or beam attacks for 28 hours.
51–75 Nanowires create greater flexibility in the material. Gain a +2 bonus to Speed defense rolls for 28 hours.
76–00 Nanowires create a tough outer coating to the material. Gain a +2 bonus to Might defense rolls for 28 hours.
Action to attach to armor. Activation can be
combined with another action.",1d6,Sewn-on patch,Self-stick fabic,Metallic swatch,,,,,
1,17,Artificial leech,"When used at the site of an infected or poisoned wound, the device draws out as much of the infection or poison as it can without injuring the surrounding tissue. The device restores a number of points equal to the cypher level to the user’s Might Pool.",1d6,Handheld device,,,,,,,
1,18,Atmospheric hyperskin,"When applied to any part of the body, nanowires penetrate the surface of the skin, allowing the user to sense a wider-thannormal range of atmospheric, geologic, and aqueous pressures, sensations, and vibrations. The user becomes trained in geology, biology, climatology, and perception for 28 hours.",1d6,Adhesive patch,Temporary tettoo,Sticky bundle of bare nanowires,,,,,
1,19,Awareness enhancer,"For the next 28 hours, the user is more aware of his surroundings through telepathic and telekinetic means. He can feel objects move within short range and can mentally hear thinking beings within long range. This is an asset for all perception and initiative tasks.",1d6,Pill,Injector,Headband,,,,,
1,20,Banishing nodule,"For the next 28 hours, each time the weapon the nodule is attached to strikes a solid creature or object, it generates a burst of energy that teleports the creature or object struck an immediate distance in a random direction (not up or down). The difficulty of the teleported creature’s actions (including defense) is modified by one step to its detriment on its next turn.",1d6,Crystal nodule affixed to a melee weapon,,,,,,,
1,21,Battle vapor,Releases faint red vapor that fills an area within long distance within two rounds. The vapor persists for ten minutes unless natural conditions (such as wind) suggest otherwise. All energy weapons used in the area inflict 2 additional points of damage as the vapor intensifies them.,1d6,Small metal canister,,,,,,,
1,22,Beauty mask,"Once applied to the user’s face and left to dry for ten minutes, this paste removes blemishes and wrinkles. The user appears much younger and more attractive. This effect is permanent.",1d6,Paste,,,,,,,
1,23,Bezoar discharge,"Explodes in an immediate radius, giving everything and everyone within it a sticky, powdery coating that provides +1 to Armor against poison, chemical, and fire damage for 28 hours.",1d6,"Explosive device (thrown, short range)",Handheld projector (long range),,,,,,
1,24,Biofeedback glove,"For the next hour, each time the wearer uses the gloved hand to perform an action, the glove sends a biofeedback response regarding the action. After wearing the glove for one hour, the wearer may choose one of those actions (such as wielding a weapon, crafting, working with numenera devices, and so on). She becomes temporarily trained in that skill. For the next 28 hours, the difficulty of all tasks related to that skill is reduced by one step.",1d6,Single glove made of synth and nanowires,,,,,,,
1,25,Blinking nodule,"For the next 28 hours, each time (but not more than once per round) the wearer of the armor the nodule is attached to is struck hard enough to inflict damage, they teleport an immediate distance in a random direction (not up or down). Since the wearer is prepared for this effect and their foe is not, the wearer’s defenses are eased for one round after they teleport (eased by two steps if the cypher is level 5 or higher).",1d6,Crystal nodule affixed to armor,,,,,,,
1,26,Blood magnet,"The user injects the biological magnet into his own blood or that of another living creature within close range. The hemoglobin of the injected creature gains strong ferromagnetic properties for one hour. Roll d100:
01–50 Attracts metallic objects to the creature (can move an object up to the weight of the creature within long range)
51–75 Repels metallic objects from the creature (can move an object up to the weight of the creature within long range)
76–00 Causes the creature’s blood to become overly magnetized, decreasing the flow of oxygen to the cells (does damage equal to the cypher level)",1d6,Gloves,Wristband,Syringe,,,,,
1,27,Body enhancer,"Adjusts to match the user’s skin color and temperature, can be shaped into any form, and affixes itself to the user’s body for up to two hours. Single action to shape and affix.",1d6,Tube of malleable material,,,,,,,
1,28,Bone dress,"The material can be squeezed into a pattern of protection around anything, living or nonliving. Within a few seconds after application, the bone hardens in the established pattern, providing a cage of armor around the selected object or creature. The cage is malleable, allowing movement, and offers +1 to Armor for one hour.
Application takes ten seconds or one round.",1d6,Squeezable tube filled with liquefied bone,,,,,,,
1,29,Brain lightning,"Provides a short, low-level burst of electrical stimulation directly to the brain, increasing awareness and cognitive function. As a result, the user moves one step up the damage track for ten minutes. This is a temporary effect that doesn’t change the status of her Pools. If she is hale (or becomes hale), the device has no effect.",1d6,Electrical headband,Handheld device,Long-needled syringe,,,,,
1,30,Buoyancy,"For one hour, the user cannot become submerged in any liquid.",1d6,Pill,Ingestible liquid,Full bodysuit,Harness worn around the chest,Injector,,,
1,31,Butterfly drone,"This voice-controlled cyberbug travels in a designated direction and distance. There, it holds its position, flying around in the area for ten minutes, recording sound and images. After that time, it returns to the user. To decipher the information, the user must ingest the bug, which then relays the recording via mechanical impulses to her brain. She sees and hears the recording only once.",1d6,Fingertip-sized winged insect built of synth and biological elements,,,,,,,
1,32,Cable projector,"Projects a cable or rope (if the PC has one) attached to a powerful spike up to long range. The projected rope embeds itself solidly into most surfaces, and the cypher can retract the rope later or pull it extremely taut. If desired, the device can easily be spiked into a surface so that the rope attaches to something solid at both ends.",1d6,Wrist-mounted projector,Handheld device,,,,,,
